,3,4,5,6,7,8,9,TARGET
0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,-1
1,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,1
2,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,-1
3,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,-1
4,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,1
5,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,-1
6,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,-1
7,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,-1
8,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,-1
9,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,-1
10,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,-1
11,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,-1
12,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,-1
13,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,-1
14,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,-1
15,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,-1
16,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,1
17,0.44,0.34,0.1,0.451,0.188,0.087,0.13,-1
18,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,1
19,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,-1
20,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,-1
21,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,-1
22,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,-1
23,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,-1
24,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,-1
25,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,-1
26,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,-1
27,0.59,0.445,0.14,0.931,0.356,0.234,0.28,-1
28,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,-1
29,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,-1
30,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,-1
31,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,-1
32,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,-1
33,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,-1
34,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,-1
35,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,-1
36,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,-1
37,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,-1
38,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,-1
39,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,-1
40,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,-1
41,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,-1
42,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,-1
43,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,-1
44,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,-1
45,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,1
46,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,-1
47,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,1
48,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,-1
49,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,-1
50,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,-1
51,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,1
52,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,-1
53,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,-1
