,CYCLOMATIC_DENSITY,DECISION_DENSITY,DESIGN_DENSITY,ESSENTIAL_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,NORMALIZED_CYLOMATIC_COMPLEXITY,PERCENT_COMMENTS,TARGET
0,0.1,0.0,1.0,0.0,27.9,7.78,1687.93,0.07,0.13,93.77,217.02,1.0,0.08,0.0,False
1,0.07,0.0,1.0,0.0,40.67,14.0,7972.25,0.19,0.07,442.9,569.45,1.0,0.06,0.0,False
2,0.26,2.17,0.18,0.0,33.74,23.2,18157.82,0.26,0.04,1008.77,782.66,0.09,0.13,30.91,False
3,0.47,3.0,0.44,0.63,26.33,31.74,26522.64,0.28,0.03,1473.48,835.64,0.67,0.41,0.0,False
4,0.11,0.0,1.0,0.0,42.25,4.43,830.35,0.06,0.23,46.13,187.3,1.0,0.06,18.18,False
5,0.28,2.0,0.75,0.71,25.81,30.07,23331.58,0.26,0.03,1296.2,775.96,0.75,0.26,0.0,False
6,0.33,0.0,1.0,0.0,8.0,3.0,72.0,0.01,0.33,4.0,24.0,1.0,0.2,25.0,False
7,0.07,2.0,1.0,0.0,46.77,30.69,44054.95,0.48,0.03,2447.5,1435.37,0.33,0.04,8.89,True
8,0.21,2.0,0.8,0.0,33.71,14.84,7426.6,0.17,0.07,412.59,500.37,0.2,0.18,0.0,False
9,0.23,2.5,0.11,0.94,60.94,26.48,42724.78,0.54,0.04,2373.6,1613.58,0.95,0.2,10.47,False
10,0.06,0.0,1.0,0.0,43.58,12.62,6939.41,0.18,0.08,385.52,549.92,1.0,0.05,0.0,False
11,0.33,2.0,1.0,0.0,24.0,4.67,522.66,0.04,0.21,29.04,112.0,0.33,0.27,0.0,False
12,0.23,2.0,0.33,0.0,18.54,16.14,4839.01,0.1,0.06,268.83,299.56,0.33,0.19,0.0,False
13,0.38,3.0,0.4,1.0,16.54,12.36,2527.87,0.07,0.08,140.44,204.46,1.0,0.16,0.0,False
14,0.4,2.0,1.0,0.0,13.67,5.71,446.5,0.03,0.18,24.81,78.14,0.5,0.29,0.0,False
15,0.12,2.0,1.0,0.0,27.97,23.08,14896.06,0.22,0.04,827.56,645.5,0.5,0.09,0.0,False
16,0.33,0.0,1.0,0.0,13.5,2.0,54.0,0.01,0.5,3.0,27.0,1.0,0.17,0.0,True
17,0.25,2.0,0.33,0.0,36.12,6.39,1474.26,0.08,0.16,81.9,230.75,0.33,0.08,52.0,False
18,0.22,2.33,0.6,0.5,39.88,13.33,7090.32,0.18,0.08,393.91,531.77,0.6,0.08,55.0,False
19,0.29,2.67,0.33,1.0,21.74,20.19,8859.53,0.15,0.05,492.2,438.86,1.0,0.26,4.76,False
20,0.14,2.0,0.33,0.0,51.47,13.89,9932.28,0.24,0.07,551.79,715.0,0.33,0.1,13.04,False
21,0.14,2.0,0.1,0.0,242.69,36.29,319607.72,2.94,0.03,17755.98,8807.05,0.03,0.12,12.24,False
22,0.17,0.0,1.0,0.0,23.55,14.58,5007.57,0.11,0.07,278.2,343.38,1.0,0.06,33.33,False
23,0.25,2.0,0.33,0.0,19.95,12.41,3072.34,0.08,0.08,170.69,247.59,0.17,0.18,14.29,False
24,0.05,0.0,1.0,0.0,77.95,9.14,6513.19,0.24,0.11,361.84,712.55,1.0,0.01,55.81,False
25,0.33,2.0,0.5,0.0,11.99,6.67,533.03,0.03,0.15,29.61,79.95,0.5,0.09,62.5,False
26,0.25,2.0,1.0,0.0,25.4,12.79,4158.09,0.11,0.08,231.0,325.0,0.25,0.18,5.88,False
27,0.09,0.0,1.0,0.0,64.9,3.6,841.09,0.08,0.28,46.73,233.64,1.0,0.08,0.0,False
28,0.33,2.0,1.0,0.0,16.5,2.0,66.0,0.01,0.5,3.67,33.0,0.5,0.22,0.0,False
29,0.2,0.0,1.0,0.0,20.93,11.28,2661.56,0.08,0.09,147.86,236.0,1.0,0.13,0.0,False
30,0.47,2.23,0.41,0.81,30.56,37.08,42020.85,0.38,0.03,2334.49,1133.15,0.82,0.44,5.56,False
31,0.23,2.0,0.67,0.0,31.59,11.45,4145.3,0.12,0.09,230.29,361.89,0.33,0.09,47.62,False
32,0.17,2.0,1.0,0.0,19.16,6.19,733.44,0.04,0.16,40.75,118.54,0.5,0.13,0.0,False
33,0.3,2.0,1.0,0.0,23.58,8.57,1732.45,0.07,0.12,96.25,202.12,0.33,0.2,0.0,False
34,0.17,2.0,0.57,0.0,59.59,22.8,30993.01,0.45,0.04,1721.83,1359.05,0.14,0.1,19.61,False
35,0.1,0.0,1.0,0.0,17.35,46.29,37167.22,0.27,0.02,2064.85,803.0,1.0,0.08,0.0,False
36,0.2,0.0,1.0,0.0,19.37,2.5,121.08,0.02,0.4,6.73,48.43,1.0,0.11,0.0,False
37,0.6,3.0,0.33,1.0,13.11,4.8,301.96,0.02,0.21,16.78,62.91,1.0,0.5,0.0,False
38,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
39,0.33,2.0,0.5,0.0,6.0,6.0,216.0,0.01,0.17,12.0,36.0,0.5,0.29,0.0,False
40,0.22,2.0,0.5,0.0,35.77,7.0,1752.53,0.08,0.14,97.36,250.36,0.5,0.18,0.0,False
41,0.17,2.17,0.88,0.29,63.61,27.76,48997.85,0.59,0.04,2722.1,1765.36,0.38,0.11,15.09,False
42,0.17,0.0,1.0,0.0,12.44,4.9,298.63,0.02,0.2,16.59,60.94,1.0,0.03,80.0,False
43,0.33,0.0,1.0,0.0,12.03,4.0,192.42,0.02,0.25,10.69,48.11,1.0,0.25,0.0,False
44,0.18,2.25,0.67,0.8,69.47,9.03,5659.94,0.21,0.11,314.44,627.05,0.83,0.13,10.81,False
45,0.16,0.0,1.0,0.0,29.48,10.0,2948.03,0.1,0.1,163.78,294.8,0.33,0.08,25.0,False
46,0.15,2.0,1.0,0.0,37.25,27.5,28170.17,0.34,0.04,1565.01,1024.36,0.25,0.1,27.27,True
47,0.13,0.0,1.0,0.0,15.94,10.29,1686.86,0.05,0.1,93.71,164.0,1.0,0.09,30.0,False
48,0.2,0.0,1.0,0.0,7.4,5.83,251.91,0.01,0.17,14.0,43.19,1.0,0.14,16.67,False
49,0.28,2.0,0.4,0.0,35.29,23.68,19791.23,0.28,0.04,1099.51,835.78,0.2,0.12,39.29,False
50,0.23,2.0,1.0,0.0,14.28,9.33,1243.74,0.04,0.11,69.1,133.26,0.33,0.21,0.0,False
51,0.17,0.0,1.0,0.0,19.23,5.69,622.17,0.04,0.18,34.57,109.39,1.0,0.13,0.0,False
52,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
53,0.25,2.0,1.0,0.0,17.31,5.5,523.51,0.03,0.18,29.08,95.18,0.5,0.2,12.5,False
54,0.43,2.0,1.0,0.0,24.15,8.59,1782.21,0.07,0.12,99.01,207.45,0.33,0.33,0.0,False
55,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
56,0.44,2.08,0.85,0.69,88.96,33.0,96874.9,0.98,0.03,5381.94,2935.6,0.7,0.4,0.0,False
57,0.11,0.0,1.0,0.0,48.36,7.78,2925.63,0.13,0.13,162.53,376.15,1.0,0.02,70.0,False
58,0.23,4.0,0.29,0.83,62.47,19.9,24732.36,0.41,0.05,1374.02,1242.99,0.86,0.18,14.71,True
59,0.33,2.0,0.5,0.0,10.04,5.0,250.95,0.02,0.2,13.94,50.19,0.5,0.29,0.0,False
60,0.29,4.0,0.5,1.0,33.12,8.0,2119.78,0.09,0.13,117.77,264.97,1.0,0.17,14.29,False
61,0.15,2.25,0.45,0.4,84.72,25.33,54371.71,0.72,0.04,3020.65,2146.25,0.45,0.09,37.27,False
62,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False
63,0.3,2.0,0.79,0.46,30.87,42.62,56084.29,0.44,0.02,3115.79,1315.88,0.5,0.23,4.26,False
64,0.18,2.0,0.33,0.0,32.61,64.33,135012.09,0.7,0.02,7500.67,2098.63,0.17,0.09,36.0,False
65,0.25,0.0,1.0,0.0,7.86,2.5,49.13,0.01,0.4,2.73,19.65,1.0,0.2,0.0,False
66,0.26,2.0,0.43,0.33,22.13,13.39,3968.8,0.1,0.07,220.49,296.34,0.43,0.18,6.9,False
67,0.25,0.0,1.0,0.0,15.85,2.4,91.29,0.01,0.42,5.07,38.04,1.0,0.11,0.0,False
68,0.56,2.43,0.07,0.69,27.2,31.11,26315.66,0.28,0.03,1461.98,845.97,0.71,0.48,0.0,False
69,0.12,2.0,0.5,0.0,19.85,16.82,5614.18,0.11,0.06,311.9,333.82,0.5,0.11,0.0,False
70,0.29,2.5,0.25,0.67,22.43,10.08,2280.63,0.08,0.1,126.7,226.18,0.75,0.24,13.33,False
71,0.08,0.0,1.0,0.0,48.36,9.75,4596.78,0.16,0.1,255.38,471.46,1.0,0.03,31.58,False
72,0.38,2.0,0.67,0.0,16.74,11.23,2110.54,0.06,0.09,117.25,187.98,0.33,0.25,0.0,False
73,0.17,2.33,0.6,0.5,30.81,17.22,9132.06,0.18,0.06,507.34,530.4,0.6,0.14,18.75,False
74,0.16,2.2,0.86,0.5,71.6,13.86,13750.99,0.33,0.07,763.94,992.23,0.57,0.11,23.26,True
75,0.28,2.4,0.82,0.2,38.45,22.91,20177.56,0.29,0.04,1120.98,880.77,0.27,0.16,33.33,False
76,0.2,0.0,1.0,0.0,18.13,4.29,333.04,0.03,0.23,18.5,77.71,1.0,0.17,0.0,False
77,0.18,2.0,1.0,0.0,54.76,4.7,1211.98,0.09,0.21,67.33,257.62,0.25,0.16,8.7,False
78,0.14,0.0,1.0,0.0,51.81,1.5,116.56,0.03,0.67,6.48,77.71,1.0,0.13,0.0,False
79,0.05,0.0,1.0,0.0,105.1,9.99,10484.77,0.35,0.1,582.49,1049.76,1.0,0.03,23.08,False
80,0.56,2.0,0.11,0.0,85.3,11.0,10321.01,0.31,0.09,573.39,938.27,0.11,0.47,87.5,True
81,0.5,0.0,1.0,0.0,10.44,3.5,127.89,0.01,0.29,7.11,36.54,1.0,0.2,0.0,False
82,0.13,2.0,0.5,0.0,56.47,17.4,17102.11,0.33,0.06,950.12,982.7,0.17,0.08,36.51,False
