,CYCLOMATIC_DENSITY,DESIGN_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,NORMALIZED_CYLOMATIC_COMPLEXITY,PERCENT_COMMENTS,TARGET
0,0.25,0.67,37.84,13.83,7233.63,0.17,0.07,401.87,523.19,0.17,0.11,31.25,False
1,0.56,0.6,12.5,13.0,2112.7,0.05,0.08,117.37,162.52,0.8,0.36,10.0,False
2,0.17,0.67,15.99,12.44,2476.9,0.07,0.08,137.61,199.04,1.0,0.13,10.53,False
3,0.3,0.67,21.06,5.85,720.66,0.04,0.17,40.04,123.19,0.33,0.19,0.0,False
4,0.15,0.33,21.09,13.0,3563.68,0.09,0.08,197.98,274.13,0.33,0.11,15.0,False
5,0.46,0.83,27.56,14.4,5715.21,0.13,0.07,317.51,396.89,0.17,0.25,0.0,False
6,0.33,1.0,8.98,2.5,56.15,0.01,0.4,3.12,22.46,1.0,0.14,0.0,False
7,0.33,0.33,12.72,10.31,1352.83,0.04,0.1,75.16,131.18,0.33,0.23,0.0,False
8,0.16,0.27,15.89,87.82,122506.36,0.47,0.01,6805.91,1395.0,0.09,0.07,54.46,True
9,0.28,1.0,31.67,17.05,9208.55,0.18,0.06,511.59,540.01,0.2,0.24,0.0,False
10,0.25,0.33,12.3,29.0,10341.88,0.12,0.03,574.55,356.62,0.33,0.13,31.25,False
11,1.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.44,0.0,False
12,0.09,0.5,27.56,24.75,16880.93,0.23,0.04,937.83,682.06,0.5,0.04,48.78,False
13,0.31,0.56,13.96,25.07,8776.91,0.12,0.04,487.61,350.08,0.78,0.2,12.5,False
14,0.16,0.33,35.24,18.0,11416.47,0.21,0.06,634.25,634.25,0.33,0.09,29.63,False
15,0.18,0.5,8.34,18.67,2905.92,0.05,0.05,161.44,155.67,0.5,0.11,23.08,False
16,0.91,0.9,18.36,24.23,10774.87,0.15,0.04,598.6,444.74,0.1,0.59,0.0,False
17,0.18,1.0,16.4,7.07,820.29,0.04,0.14,45.57,116.0,0.5,0.13,0.0,False
18,0.25,1.0,30.46,3.75,428.33,0.04,0.27,23.8,114.22,0.33,0.11,0.0,False
19,0.06,1.0,28.84,13.33,5127.24,0.13,0.08,284.85,384.54,1.0,0.04,14.29,False
20,0.29,0.5,12.05,11.9,1706.44,0.05,0.08,94.8,143.4,0.5,0.22,0.0,False
21,0.08,1.0,22.1,14.57,4692.33,0.11,0.07,260.69,322.02,1.0,0.05,35.29,False
22,0.5,1.0,14.8,8.56,1083.64,0.04,0.12,60.2,126.66,0.5,0.25,0.0,False
23,0.21,0.67,29.04,10.58,3249.15,0.1,0.09,180.51,307.19,0.33,0.15,0.0,False
24,1.0,1.0,5.8,2.0,23.22,0.0,0.5,1.29,11.61,1.0,1.0,0.0,False
25,0.5,0.75,20.0,10.21,2087.05,0.07,0.1,115.95,204.33,0.25,0.27,0.0,False
26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,False
27,0.33,0.75,14.9,11.69,2035.55,0.06,0.09,113.09,174.17,0.25,0.25,0.0,False
28,0.21,0.1,29.53,47.36,66226.0,0.47,0.02,3679.22,1398.44,0.8,0.2,35.42,False
29,0.1,1.0,17.14,5.83,583.33,0.03,0.17,32.4,100.0,1.0,0.08,0.0,False
30,0.14,1.0,30.33,17.78,9587.04,0.18,0.06,532.61,539.27,0.2,0.1,7.69,False
31,0.17,1.0,46.18,10.67,5260.7,0.16,0.09,292.26,492.89,0.2,0.09,29.27,False
32,0.29,0.5,16.92,4.5,342.66,0.03,0.22,19.04,76.15,0.5,0.22,0.0,False
33,0.33,1.0,14.8,10.0,1480.0,0.05,0.1,82.22,148.0,0.25,0.14,50.0,False
34,0.5,0.83,22.66,14.44,4722.37,0.11,0.07,262.35,327.09,0.17,0.32,0.0,False
35,1.0,0.5,9.51,4.0,152.16,0.01,0.25,8.45,38.04,0.5,2.0,0.0,False
36,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,False
37,0.3,0.33,10.03,35.21,12432.13,0.12,0.03,690.67,353.04,1.0,0.26,9.52,False
38,0.33,0.33,10.53,27.0,7675.23,0.09,0.04,426.4,284.27,0.33,0.2,0.0,False
39,0.06,0.33,95.83,13.45,17344.68,0.43,0.07,963.59,1289.23,0.33,0.05,14.0,False
40,0.17,1.0,11.29,9.0,914.21,0.03,0.11,50.79,101.58,1.0,0.1,0.0,False
41,0.39,0.78,27.48,21.35,12519.46,0.2,0.05,695.53,586.5,0.78,0.25,30.43,False
42,0.25,0.5,51.72,11.85,7268.38,0.2,0.08,403.8,613.12,0.83,0.14,8.33,False
43,0.5,1.0,5.33,1.5,12.0,0.0,0.67,0.67,8.0,1.0,0.13,33.33,False
44,0.72,0.44,46.04,88.2,358147.97,1.35,0.01,19897.11,4060.52,0.46,0.7,0.0,False
45,0.06,1.0,73.68,23.6,41036.32,0.58,0.04,2279.8,1738.83,0.5,0.02,42.11,True
46,0.33,1.0,16.47,9.33,1434.82,0.05,0.11,79.71,153.73,1.0,0.21,0.0,False
47,0.43,0.67,19.33,8.57,1420.02,0.06,0.12,78.89,165.67,0.33,0.21,0.0,False
48,0.15,1.0,35.04,3.85,519.3,0.04,0.26,28.85,134.89,0.5,0.06,38.1,True
49,0.33,1.0,12.06,1.5,27.14,0.01,0.67,1.51,18.09,1.0,0.06,33.33,False
50,0.29,1.0,15.92,6.29,629.06,0.03,0.16,34.95,100.08,0.5,0.2,12.5,False
51,0.5,1.0,19.38,5.06,496.63,0.03,0.2,27.59,98.1,1.0,0.3,0.0,False
52,0.5,1.0,12.06,1.5,27.14,0.01,0.67,1.51,18.09,1.0,0.25,0.0,False
53,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.13,0.0,False
54,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.29,0.0,False
55,0.5,1.0,7.75,2.0,31.02,0.01,0.5,1.72,15.51,1.0,0.17,0.0,False
56,0.33,1.0,9.51,4.0,152.16,0.01,0.25,8.45,38.04,1.0,0.2,0.0,False
57,0.29,0.5,12.44,9.0,1008.0,0.04,0.11,56.0,112.0,0.5,0.18,28.57,False
58,0.18,1.0,21.59,13.59,3988.08,0.1,0.07,221.56,293.44,0.25,0.13,92.59,True
59,0.21,0.46,27.67,49.46,67672.14,0.46,0.02,3759.56,1368.32,0.38,0.14,34.18,True
60,0.5,1.0,5.89,7.0,288.46,0.01,0.14,16.03,41.21,1.0,0.25,0.0,False
61,0.12,1.0,21.41,11.11,2643.15,0.08,0.09,146.84,237.88,0.5,0.08,0.0,False
62,0.23,0.04,74.42,39.83,118062.58,0.99,0.03,6559.03,2964.18,0.48,0.13,29.88,False
63,0.07,1.0,20.1,20.0,8039.07,0.13,0.05,446.61,401.95,1.0,0.05,6.67,False
64,0.27,0.67,10.83,19.25,4012.87,0.07,0.05,222.94,208.46,0.33,0.14,30.77,False
65,0.2,1.0,13.65,11.0,1651.29,0.05,0.09,91.74,150.12,0.5,0.12,27.27,False
66,0.1,0.75,76.97,31.91,78348.5,0.82,0.03,4352.69,2455.63,0.5,0.07,16.09,True
67,0.17,1.0,16.85,8.57,1237.97,0.05,0.12,68.78,144.43,1.0,0.07,25.0,False
68,0.33,0.75,21.0,15.0,4723.94,0.1,0.07,262.44,314.93,1.0,0.18,33.33,False
69,0.13,0.5,24.76,11.0,2995.56,0.09,0.09,166.42,272.32,0.5,0.08,11.11,False
70,0.12,0.33,43.73,22.81,22757.22,0.33,0.04,1264.29,997.58,0.17,0.05,53.21,False
71,0.17,1.0,21.49,6.6,936.12,0.05,0.15,52.01,141.84,1.0,0.08,0.0,False
72,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,False
73,0.25,1.0,19.03,4.08,317.31,0.03,0.24,17.63,77.71,1.0,0.08,20.0,False
74,0.2,1.0,15.86,3.5,194.27,0.02,0.29,10.79,55.51,1.0,0.11,20.0,False
75,0.1,1.0,90.42,23.23,48777.92,0.7,0.04,2709.88,2100.16,0.25,0.04,56.34,True
76,0.2,1.0,14.98,6.0,539.15,0.03,0.17,29.95,89.86,1.0,0.13,0.0,False
77,0.7,0.14,13.5,17.0,3900.44,0.08,0.06,216.69,229.44,0.14,0.5,25.0,False
78,0.47,0.44,29.58,26.25,20382.96,0.26,0.04,1132.39,776.49,0.67,0.41,0.0,False
79,0.5,1.0,5.8,2.0,23.22,0.0,0.5,1.29,11.61,1.0,0.2,0.0,False
80,0.5,1.0,5.33,1.5,12.0,0.0,0.67,0.67,8.0,1.0,0.14,33.33,False
81,0.32,0.5,15.63,41.67,27127.69,0.22,0.02,1507.09,651.06,0.13,0.17,35.29,False
82,0.31,0.44,31.55,35.27,39260.76,0.37,0.03,2181.15,1113.02,0.44,0.25,29.41,False
83,0.2,1.0,11.59,4.38,221.89,0.02,0.23,12.33,50.72,1.0,0.11,40.0,False
84,0.22,0.5,14.18,10.0,1417.77,0.05,0.1,78.77,141.78,0.5,0.1,25.0,False
85,0.33,1.0,18.96,7.64,1105.39,0.05,0.13,61.41,144.75,0.5,0.25,0.0,False
86,0.4,0.5,13.33,7.5,750.0,0.03,0.13,41.67,100.0,0.5,0.29,0.0,False
