,V1,V2,V8,V12,V13,V14,V15,V17,V18,V22,V27,V28,V30,V31,V36,V37,V39,TARGET
0,3.919,2.6909,31.4,0.0,3.106,2.55,9.002,0.96,1.142,1.201,1.932,0.011,0.0,4.489,2.949,1.591,7.253,2
1,4.17,2.1144,30.8,0.0,2.461,1.393,8.723,0.989,1.144,1.104,2.214,-0.204,0.0,1.542,3.315,1.967,7.257,2
2,3.932,3.2512,26.7,0.0,3.279,2.585,9.11,1.009,1.152,1.092,1.942,-0.008,0.0,4.891,3.076,2.417,7.601,2
3,3.0,2.7098,20.0,0.0,2.1,0.918,6.594,1.108,1.167,1.024,1.414,1.073,8.361,1.333,3.046,5.0,6.69,2
4,4.236,3.3944,29.4,-0.271,3.449,2.753,9.528,1.004,1.147,1.137,1.985,-0.002,10.348,5.588,3.351,2.405,8.003,2
5,4.236,3.4286,28.6,-0.275,3.313,2.522,9.383,1.014,1.149,1.119,1.98,-0.008,10.276,4.746,3.351,2.556,7.904,2
6,5.0,5.0476,11.1,0.0,2.872,0.722,9.657,1.092,1.153,1.125,2.0,0.446,18.375,0.8,4.712,4.583,9.303,2
7,4.525,3.8301,31.6,-0.039,3.418,2.468,9.786,0.98,1.142,1.179,2.119,-0.002,11.115,3.889,3.379,2.143,7.95,2
8,4.596,3.0777,44.4,0.0,2.97,0.875,9.54,0.968,1.115,1.328,2.175,0.041,0.0,1.069,3.626,1.917,7.939,2
9,5.04,3.6112,41.2,-1.29,3.483,1.258,10.159,1.069,1.127,1.199,2.323,0.005,30.959,1.711,3.888,3.5,8.706,2
10,4.91,2.7414,52.9,-0.302,3.364,0.629,10.06,1.018,1.098,1.279,2.333,0.004,10.717,1.207,3.767,2.5,8.427,2
11,3.618,2.1906,29.4,0.0,2.333,1.522,7.853,0.959,1.147,1.178,1.732,0.294,0.0,2.094,2.794,1.7,6.333,2
12,4.214,2.6272,30.0,0.0,2.523,1.459,8.755,0.959,1.145,1.213,1.902,-0.181,0.0,2.052,2.998,1.722,6.77,2
13,3.732,2.3391,30.0,0.0,2.511,1.585,8.16,0.959,1.145,1.196,1.802,-0.181,0.0,2.488,2.846,1.667,6.557,2
14,3.879,2.5951,31.0,0.0,2.908,2.281,8.743,0.96,1.143,1.202,1.902,0.036,0.0,3.685,2.924,1.611,7.029,2
15,3.942,2.7719,31.6,0.0,3.44,2.777,9.207,0.969,1.141,1.22,1.95,0.003,0.0,5.294,3.542,1.739,8.127,2
16,3.966,2.852,32.0,0.0,4.075,3.146,9.522,0.965,1.138,1.243,1.97,0.0,0.0,6.909,6.866,1.603,11.578,2
17,3.732,2.3761,26.3,0.0,2.532,1.585,8.16,0.969,1.157,1.152,1.802,-0.195,0.0,2.488,2.858,2.0,6.599,2
18,4.0,2.6264,23.1,0.0,2.167,0.811,8.318,0.972,1.166,1.182,1.732,-0.522,0.0,1.0,2.991,2.0,6.579,2
19,2.0,1.1521,16.7,0.0,1.549,0.0,4.174,1.016,1.173,0.93,1.0,-1.099,0.0,1.0,2.279,4.0,4.948,2
20,3.732,2.4062,27.8,0.0,2.555,1.585,8.16,0.979,1.15,1.134,1.802,-0.205,0.0,2.488,2.874,2.333,6.649,2
21,4.0,2.3699,30.0,0.0,2.273,1.0,8.482,0.998,1.146,1.09,2.17,0.34,0.0,1.0,3.302,2.083,7.174,2
22,3.414,2.2525,20.0,0.0,2.243,1.0,7.408,1.031,1.166,0.98,1.618,-0.642,0.0,1.707,2.817,3.75,6.32,2
23,4.17,2.8042,23.1,0.0,2.449,0.971,8.597,1.015,1.16,1.044,1.848,0.391,0.0,1.542,3.047,3.367,6.782,2
24,4.303,2.9558,25.0,0.0,2.608,1.459,8.815,1.005,1.156,1.056,1.932,-0.229,0.0,1.745,3.083,3.056,6.914,2
25,3.414,2.6294,37.5,0.0,2.333,1.0,7.408,1.012,1.13,1.215,1.618,-0.66,0.0,1.707,3.188,3.5,7.035,2
26,4.214,3.0057,25.0,0.0,2.608,1.459,8.755,1.005,1.156,1.104,1.902,-0.236,0.0,2.052,3.087,2.722,6.989,2
27,3.848,2.8521,27.3,0.0,2.858,2.0,8.584,0.993,1.151,1.117,1.879,-0.076,0.0,3.284,2.997,2.375,7.074,2
28,3.414,2.3729,30.0,0.0,2.263,1.0,7.408,0.998,1.146,1.142,1.618,-0.589,9.174,1.707,3.038,3.125,6.735,2
29,4.393,3.6458,37.0,2.487,3.233,2.187,9.562,0.978,1.131,1.259,2.048,0.013,10.02,3.684,3.39,2.303,8.029,2
