,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,TARGET
0,0.0498,0.2415,0.1818,0.0047,0.4706,1.0,1.0,2.4265,0.9031,1.6435,0.8182,-0.2913,0.5822,1
1,0.7647,0.3793,0.2069,0.0036,0.6,0.9667,1.0,2.0334,0.7782,1.4624,0.7931,-0.1756,0.2984,1
2,0.971,0.3426,0.3333,0.0037,0.75,0.9474,1.0,1.8513,0.7782,1.2553,0.6667,-0.1228,0.215,1
3,0.7287,0.4413,0.1556,0.0052,0.5385,1.0,1.0,2.2455,0.8451,1.6532,0.8444,-0.1568,0.5212,1
4,0.0695,0.4486,0.0662,0.0126,0.2833,0.9885,1.0,3.3818,1.2305,2.4099,0.9338,-0.1992,1.0,1
5,0.62,0.3417,0.1264,0.0079,0.55,1.0,1.0,2.7993,1.0414,1.9395,0.8736,-0.2267,0.9874,1
6,0.4896,0.339,0.0795,0.0196,0.1435,0.9607,1.0,3.9567,1.5185,2.6181,0.9205,0.2791,1.0,1
7,0.2253,0.34,0.5,0.0059,0.9091,1.0,1.0,2.1206,1.0,1.301,0.5,0.1841,0.3359,1
8,0.3912,0.2189,0.5,0.0077,0.8667,1.0,1.0,2.4216,1.1139,1.415,0.5,-0.1197,0.5593,1
9,0.0877,0.4261,0.0976,0.0095,0.3478,0.982,1.0,3.1778,1.2041,2.2148,0.9024,-0.0651,1.0,1
10,0.1257,0.2326,0.25,0.0071,0.9231,1.0,1.0,2.6454,1.0792,1.6812,0.75,-0.1093,0.8612,1
11,0.5987,0.5562,0.1563,0.0059,0.2381,0.9275,1.0,2.4533,1.0,1.8062,0.8438,-0.1455,0.9048,1
12,0.0545,0.2593,0.2222,0.0071,0.8,1.0,1.0,2.6812,1.0792,1.7324,0.7778,0.0086,0.9093,1
13,0.6888,0.1981,0.15,0.0053,0.4091,1.0,1.0,2.6365,0.9542,1.7781,0.85,-0.2978,0.8299,1
14,0.5347,0.2533,0.2308,0.0089,0.5,0.9559,1.0,2.8621,1.1761,1.8129,0.7692,-0.2568,0.9888,1
15,0.7931,0.446,0.1136,0.0089,0.2542,0.9925,1.0,3.0402,1.1761,2.1206,0.8864,-0.1487,1.0,1
16,0.1849,0.4772,0.1343,0.0213,0.2156,0.9503,1.0,3.7028,1.5563,2.4281,0.8657,-0.1157,1.0,1
17,0.1067,0.4599,0.1918,0.0083,0.3684,0.9605,1.0,2.7419,1.1461,1.8633,0.8082,-0.1543,0.9918,1
18,0.0972,0.2171,0.28,0.0041,0.875,1.0,1.0,2.1367,0.8451,1.3979,0.72,-0.1499,0.2998,1
19,0.0877,0.3549,0.4444,0.0071,0.8,1.0,1.0,2.3201,1.0792,1.4314,0.5556,-0.0727,0.5362,1
20,0.0202,0.2406,0.3235,0.0065,0.6111,1.0,1.0,2.4533,1.0414,1.5315,0.6765,-0.1031,0.6173,1
21,0.051,0.4138,0.3103,0.0053,0.6923,1.0,1.0,2.1847,0.9542,1.4624,0.6897,-0.0935,0.4317,1
22,0.0747,0.3801,0.4737,0.0053,0.9,1.0,1.0,2.0253,0.9542,1.2787,0.5263,0.0192,0.2942,1
23,0.0972,0.3231,0.2564,0.0059,0.6667,1.0,1.0,2.4216,1.0,1.5911,0.7436,-0.0479,0.6422,1
