,GLCM_Pan,Mean_G,Mean_R,Mean_NIR,SD_Plan,TARGET
0,120.362774,205.5,119.395349,416.581395,20.676318,2
1,124.739583,202.8,115.333333,354.333333,16.707151,2
2,134.691964,199.285714,116.857143,477.857143,22.496712,2
3,127.946309,178.368421,92.368421,278.473684,14.977453,2
4,135.431548,197.0,112.690476,532.952381,17.604193,2
5,118.347962,226.15,138.85,608.9,29.072797,2
6,135.436282,184.5,95.142857,309.190476,13.055264,2
7,121.169643,226.0,146.214286,595.571429,22.808542,2
8,131.127161,232.784314,144.588235,563.843137,11.948563,2
9,134.498092,210.212121,116.909091,594.848485,27.937685,2
10,131.164773,206.681818,114.727273,483.045455,22.903544,2
11,136.09596,201.4,111.4,444.6,16.553622,2
12,122.631902,230.560976,142.195122,473.707317,24.521889,2
13,113.65618,213.107143,129.785714,480.857143,29.237766,2
14,133.894198,191.621622,115.513514,419.513514,17.489139,2
15,131.111498,213.666667,125.444444,537.888889,19.434819,2
16,127.835697,201.358491,116.509434,372.132076,23.929111,2
17,121.61126,199.744681,121.06383,338.12766,15.019107,2
18,106.242105,221.75,140.0,381.166667,18.903263,2
19,147.771127,220.111111,123.722222,479.166667,23.337037,2
20,135.823938,192.232877,115.09589,332.424658,12.805692,2
21,134.958974,226.673469,141.469388,435.959184,17.606107,2
22,128.531408,188.984,93.312,296.616,16.932495,2
23,143.528736,170.363636,78.454545,400.0,10.832306,2
24,141.109375,164.625,68.0,242.5,6.753471,2
25,140.02603,189.896552,89.241379,561.310345,23.83759,2
26,132.58773,222.392157,133.058823,579.215686,19.832652,2
27,121.757895,174.0,92.666667,217.777778,14.055446,2
28,135.677165,199.75,105.208333,453.333333,16.185073,2
29,119.457404,180.741936,93.145161,227.774194,12.293254,2
30,124.591944,179.416667,89.083333,208.083333,20.352602,2
31,126.527972,178.777778,85.111111,359.777778,11.080513,2
32,135.024485,190.877551,104.55102,270.653061,14.329932,2
33,142.56579,183.416667,89.763889,240.263889,11.29866,2
34,124.611009,180.826087,93.434783,242.608696,9.803702,2
35,130.84965,175.333333,83.402778,342.277778,21.171678,2
36,133.854167,166.407407,78.740741,254.37037,14.175076,2
37,119.714558,231.833333,153.515152,591.015152,25.385987,2
38,123.278545,218.26,129.68,600.22,29.894943,2
39,117.639292,215.564103,131.205128,504.076923,22.19423,2
40,138.512724,202.044776,118.537313,445.925373,20.084939,2
41,118.578324,198.567568,117.067568,429.135135,33.420971,2
42,134.064037,183.463636,95.590909,236.681818,18.00373,2
43,117.650655,236.486111,155.458333,541.541667,18.511821,2
44,135.284257,234.651163,149.837209,587.0,22.066888,2
45,123.302428,207.754386,120.666667,436.087719,18.284456,2
46,128.096093,199.2,118.4,403.333333,21.405892,2
47,119.635551,200.651786,118.821429,312.517857,21.871778,2
48,119.506522,224.241379,131.586207,592.241379,27.410822,2
49,132.279558,213.508772,126.210526,503.631579,26.666932,2
50,123.752283,222.018182,134.672727,510.036364,21.587217,2
51,123.997297,221.671429,156.242857,493.414286,24.439196,2
52,130.010502,184.87037,103.166667,319.777778,21.732253,2
53,122.797834,202.342857,132.485714,322.285714,15.835378,2
54,132.404776,201.305556,125.407407,373.805556,23.220295,2
55,127.80718,202.711957,120.722826,415.804348,27.258971,2
56,122.15942,195.15,128.825,323.975,28.948097,2
57,126.432185,206.422908,128.599119,403.061674,23.368589,2
58,128.368754,211.354497,140.650794,411.301587,24.842135,2
59,126.739726,203.391304,129.904348,390.817391,20.635785,2
60,128.581136,200.870968,119.322581,436.556452,24.033568,2
61,136.359435,210.30581,118.422018,462.568807,21.609575,2
62,128.97306,202.625,118.759259,427.49537,21.303533,2
63,131.599825,209.560185,117.236111,566.009259,36.442122,2
64,122.665428,218.267717,136.586614,498.633858,26.649676,2
65,132.455492,198.865672,113.80597,323.059702,18.657719,2
66,129.20801,188.688679,110.650943,327.716981,19.005395,2
67,124.590466,197.325203,120.642276,398.853659,18.675637,2
68,129.360137,207.261905,123.945578,464.72449,26.64041,2
69,141.57423,199.244444,127.333333,364.177778,15.219286,2
70,127.218812,190.314961,110.102362,383.393701,19.666454,2
71,118.122585,217.894118,134.235294,443.111765,18.376031,2
72,138.614314,213.603175,126.111111,421.0,18.304925,2
73,134.301502,210.6,125.671429,436.190476,21.034099,2
74,142.867713,228.678571,104.392857,674.964286,32.399531,1
75,143.497283,211.608696,95.73913,612.347826,29.530094,1
76,135.725,238.916667,107.583333,741.270833,20.841071,1
77,112.824561,236.92,108.04,705.84,22.670651,1
78,111.207547,233.1,105.575,729.775,23.673812,1
79,124.955163,226.695652,100.565217,686.434783,27.8711,1
80,115.849866,235.893617,107.106383,757.212766,19.601577,1
81,124.970238,218.095238,97.428571,595.857143,40.781037,1
82,130.711775,169.526738,69.40107,187.684492,8.875741,1
83,113.465116,244.259259,107.555556,735.518519,34.575418,1
84,130.118358,230.230769,104.192308,689.346154,16.023282,1
85,120.413907,216.31579,104.894737,617.31579,29.403865,1
86,127.223214,219.428571,100.571429,588.857143,17.274495,1
87,128.945313,196.0,93.0,437.0,27.335874,1
88,133.359375,166.0,84.0,247.0,14.101751,1
89,127.395833,200.333333,99.166667,486.166667,26.023494,1
90,137.922594,231.333333,99.366667,641.866667,40.490932,1
91,105.1,206.8,97.0,564.2,21.303521,1
92,132.386555,203.733333,95.8,531.866667,53.596849,1
93,107.576923,213.307692,90.769231,514.153846,45.348225,1
94,127.765766,187.0,82.357143,310.142857,15.443941,1
95,124.018476,170.927273,69.072727,217.836364,13.337253,1
96,132.299304,203.407407,90.0,495.407407,36.943771,1
97,153.541667,204.0,87.0,452.0,1.699673,1
98,125.73937,169.203046,69.416244,206.411168,7.412496,1
99,140.857143,175.75,79.916667,293.0,6.015605,1
100,132.592007,164.682927,68.682927,177.897561,8.123652,1
101,138.240418,198.25,87.055556,445.388889,27.26414,1
102,136.250617,191.686275,87.176471,441.764706,20.390781,1
103,130.011364,199.181818,95.272727,520.636364,12.186566,1
104,120.872081,226.387097,101.709677,746.806452,16.682722,1
105,144.339744,174.4,77.65,302.1,10.067274,1
106,106.34375,231.8,111.8,726.4,28.667229,1
107,141.350694,224.444444,107.111111,668.666667,30.063924,1
108,128.177165,206.5,94.4375,456.875,23.224427,1
109,127.479315,206.818182,93.590909,525.431818,18.794822,1
110,130.766562,217.0,97.4,648.4,24.676862,1
111,123.854494,213.272727,100.568182,645.272727,34.318355,1
112,122.673611,183.333333,80.666667,390.777778,20.083775,1
113,119.14881,200.0,93.52381,488.619048,29.794534,1
114,111.150735,193.058824,88.352941,493.823529,33.466194,1
115,109.638889,206.555556,97.666667,463.555556,20.259429,1
116,127.918558,218.87234,98.085106,679.574468,19.805391,1
117,135.184015,177.0,78.5,406.441177,16.311867,1
118,138.233824,214.418605,97.44186,730.813954,26.142742,1
119,136.759563,195.695652,89.521739,511.26087,15.833252,1
120,93.6875,220.857143,99.714286,677.0,8.729495,1
121,106.355814,218.62963,99.481481,719.592593,19.924205,1
122,139.234043,211.0,99.777778,588.666667,18.667328,1
123,183.28125,204.0,96.5,475.5,1.0,1
124,113.980836,188.722222,82.083333,456.0,16.625783,1
125,98.419643,210.285714,97.571429,628.0,17.779833,1
126,149.3125,206.666667,94.833333,607.666667,27.373446,1
127,125.569124,222.707317,101.439024,775.134146,21.64281,1
128,111.444686,206.586207,94.344828,631.793103,25.200881,1
129,109.208333,220.0,95.083333,757.416667,19.728716,1
130,139.497748,201.214286,88.071429,568.214286,22.322857,1
131,130.857939,201.777778,88.066667,471.844444,16.218508,1
132,141.576389,213.0,90.777778,721.777778,40.472213,1
133,106.289474,197.5,86.5,541.5,27.578549,1
134,133.612211,178.5,73.815789,347.289474,18.836536,1
135,140.392046,204.0,96.0,583.0,21.859431,1
136,134.625,216.928571,98.714286,714.714286,12.613566,1
137,142.681818,210.277778,93.944444,628.333333,25.658488,1
138,139.659091,211.545455,91.363636,679.818182,13.614528,1
139,140.75,213.684211,95.210526,756.368421,10.72755,1
140,138.65,203.2,88.0,641.2,39.852729,1
141,143.241071,186.714286,82.857143,467.571429,27.102225,1
142,130.591709,192.78,85.4,540.5,24.079444,1
143,117.601744,220.954546,103.136364,673.181818,10.249773,1
144,112.661088,212.4,94.6,773.6,24.338903,1
145,122.062687,213.285714,95.142857,557.0,22.679068,1
146,124.751852,229.647059,109.235294,806.176471,6.494608,1
147,122.188153,200.333333,90.0,631.0,22.214999,1
148,136.543046,200.578947,85.105263,450.736842,16.121423,1
149,123.29235,205.695652,91.173913,481.086957,17.804016,1
150,100.36076,230.2,105.8,821.6,17.059015,1
151,113.276316,195.0,84.541667,467.416667,27.275854,1
152,127.676136,221.454546,103.090909,768.454546,28.989881,1
153,92.7625,206.4,98.0,717.2,26.229754,1
154,119.058511,227.728814,106.508475,744.372881,19.159831,1
155,94.875,223.25,102.25,753.5,13.160072,1
156,111.3,199.7,88.9,612.6,23.336881,1
157,159.867188,196.375,87.625,469.0,17.333133,1
158,162.1,221.0,99.0,612.0,11.757551,1
159,143.0,210.842105,99.631579,717.894737,37.098805,1
160,132.873786,198.923077,96.153846,549.538462,26.323882,1
161,148.653153,192.928571,89.714286,528.857143,17.552981,1
162,124.5422,214.183674,101.122449,575.77551,20.198123,1
163,121.129139,220.421053,107.789474,767.0,23.223069,1
164,121.181818,203.181818,93.636364,592.454546,45.615533,1
165,137.717687,201.297297,92.756757,484.972973,20.546763,1
166,126.640625,221.75,101.25,591.083333,12.266712,1
167,128.519531,192.625,86.3125,589.25,18.738225,1
168,116.983558,224.5,102.190476,663.238095,20.160144,1
169,135.914414,212.571429,97.714286,677.857143,27.05135,1
170,116.940397,201.157895,88.315789,639.052632,13.9051,1
171,119.484932,199.652174,85.0,545.26087,47.957842,1
172,111.981061,202.176471,92.147059,680.117647,10.810454,1
173,118.043544,205.547619,93.166667,625.666667,36.937566,1
174,130.677099,174.987952,75.26506,312.73494,12.141781,1
175,131.501166,200.888889,83.222222,631.481482,28.361424,1
176,117.694588,197.938776,88.020408,604.857143,17.209201,1
177,117.405205,183.0,76.823529,399.411765,21.051777,1
178,130.286177,193.758621,83.62069,522.534483,28.6482,1
179,149.554688,201.0,94.5,629.5,25.780019,1
180,133.233524,181.363636,75.818182,390.75,12.34683,1
181,110.288194,199.277778,82.222222,622.055556,34.916169,1
182,136.448819,204.4375,94.0,665.71875,23.847088,1
183,120.5,195.125,84.1875,558.75,39.471459,1
